number,value,datetime_start,datetime_complete,duration,params_chunk_overlap,params_chunk_size,params_model_name,params_num_retrieved_chunks,params_threshold,state
0,0.08614899746028216,2025-03-11 19:56:48.978205,2025-03-11 19:56:52.728247,0 days 00:00:03.750042,0.1,200,sentence-transformers/all-MiniLM-L12-v2,9,0.4743718311149292,COMPLETE
1,0.14093807329878183,2025-03-11 19:56:52.728566,2025-03-11 19:56:55.540814,0 days 00:00:02.812248,0.1,70,sentence-transformers/all-MiniLM-L6-v2,3,0.5390128027240505,COMPLETE
2,0.012825647108059099,2025-03-11 19:56:55.541480,2025-03-11 19:56:58.478383,0 days 00:00:02.936903,0.4,260,sentence-transformers/all-MiniLM-L12-v2,6,0.6182320344948716,COMPLETE
3,0.03243070570567158,2025-03-11 19:56:58.479031,2025-03-11 19:57:01.456413,0 days 00:00:02.977382,0.2,290,sentence-transformers/all-MiniLM-L12-v2,8,0.07657643503527747,COMPLETE
4,0.20421528842804196,2025-03-11 19:57:01.457298,2025-03-11 19:57:04.663462,0 days 00:00:03.206164,0.6000000000000001,70,sentence-transformers/all-MiniLM-L6-v2,6,0.20263208998080187,COMPLETE
5,0.10440171063393597,2025-03-11 19:57:04.664264,2025-03-11 19:57:07.759019,0 days 00:00:03.094755,0.0,90,sentence-transformers/all-MiniLM-L12-v2,6,0.20202830899894134,COMPLETE
6,0.0820062504582375,2025-03-11 19:57:07.759740,2025-03-11 19:57:10.509953,0 days 00:00:02.750213,0.30000000000000004,290,sentence-transformers/all-MiniLM-L12-v2,4,0.4960923504057777,COMPLETE
7,0.0,2025-03-11 19:57:10.510646,2025-03-11 19:57:13.557979,0 days 00:00:03.047333,0.4,110,sentence-transformers/all-MiniLM-L12-v2,4,0.7822313431888624,COMPLETE
8,0.078052042547705,2025-03-11 19:57:13.558715,2025-03-11 19:57:18.261879,0 days 00:00:04.703164,0.6000000000000001,140,sentence-transformers/all-MiniLM-L12-v2,10,0.08654687187343159,COMPLETE
9,0.27580051417418777,2025-03-11 19:57:18.262612,2025-03-11 19:57:22.026912,0 days 00:00:03.764300,0.6000000000000001,80,sentence-transformers/all-MiniLM-L12-v2,2,0.23263447664020445,COMPLETE
10,0.45956845606986596,2025-03-11 19:57:22.027700,2025-03-11 19:57:25.106665,0 days 00:00:03.078965,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.2786397449038925,COMPLETE
11,0.3807230043852746,2025-03-11 19:57:25.107369,2025-03-11 19:57:28.282427,0 days 00:00:03.175058,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.30609773742367863,COMPLETE
12,0.3807230043852746,2025-03-11 19:57:28.283950,2025-03-11 19:57:31.374914,0 days 00:00:03.090964,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.3438782123967515,COMPLETE
13,0.3807230043852746,2025-03-11 19:57:31.375630,2025-03-11 19:57:34.751067,0 days 00:00:03.375437,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.3306610532334943,COMPLETE
14,0.1539409925292045,2025-03-11 19:57:34.751948,2025-03-11 19:57:37.537394,0 days 00:00:02.785446,0.5,190,sentence-transformers/all-MiniLM-L6-v2,3,0.36171414187922757,COMPLETE
15,0.011129691110894119,2025-03-11 19:57:37.538208,2025-03-11 19:57:40.599864,0 days 00:00:03.061656,0.7,140,sentence-transformers/all-MiniLM-L6-v2,1,0.6882341303610964,COMPLETE
16,0.0,2025-03-11 19:57:40.601272,2025-03-11 19:57:43.798067,0 days 00:00:03.196795,0.5,40,sentence-transformers/all-MiniLM-L6-v2,3,0.8799490537612549,COMPLETE
17,0.24375204494004543,2025-03-11 19:57:43.798795,2025-03-11 19:57:46.562101,0 days 00:00:02.763306,0.5,120,sentence-transformers/all-MiniLM-L6-v2,2,0.2702548138785436,COMPLETE
18,0.297380422343707,2025-03-11 19:57:46.562789,2025-03-11 19:57:50.106444,0 days 00:00:03.543655,0.7,50,sentence-transformers/all-MiniLM-L6-v2,5,0.005666535881363455,COMPLETE
19,0.1548780830197303,2025-03-11 19:57:50.107541,2025-03-11 19:57:52.920994,0 days 00:00:02.813453,0.30000000000000004,230,sentence-transformers/all-MiniLM-L6-v2,2,0.40065538509354726,COMPLETE
20,0.08702487468874924,2025-03-11 19:57:52.922062,2025-03-11 19:57:55.875059,0 days 00:00:02.952997,0.6000000000000001,170,sentence-transformers/all-MiniLM-L6-v2,8,0.15311640028140022,COMPLETE
21,0.3807230043852746,2025-03-11 19:57:55.875828,2025-03-11 19:57:58.868680,0 days 00:00:02.992852,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.3059455857432233,COMPLETE
22,0.376707666603503,2025-03-11 19:57:58.870447,2025-03-11 19:58:01.898343,0 days 00:00:03.027896,0.7,60,sentence-transformers/all-MiniLM-L6-v2,1,0.410775959197116,COMPLETE
